"id_atencion_por_departamento","id_departamento","codigo_cie","hombres","mujeres","ignorado","id_tipo_servicios"
412,"14",O80,0,114,0,1
413,"14",N39,23,79,0,1
414,"14",E14,39,62,0,1
415,"14",K80,22,78,0,1
416,"14",K37,40,50,0,1
417,"14",O06,0,80,0,1
418,"14",D25,0,72,0,1
419,"14",F10,47,8,0,1
420,"14",K46,35,19,0,1
421,"14",Z98,25,29,0,1
422,"14",N85,0,53,0,1
423,"14",I10,20,29,0,1
424,"14",N40,48,0,0,1
425,"14",N81,0,48,0,1
426,"14",E87,22,25,0,1
427,"14",K31,13,34,0,1
428,"14",S52,26,21,0,1
429,"14",N12,10,32,0,1
430,"14",Q36,25,15,0,1
431,"14",C41,19,19,0,1
432,"14",O20,0,36,0,1
433,"14",K29,9,26,0,1
434,"14",R99,56,95,0,1
435,"15",O82,0,281,0,1
436,"15",Z38,87,100,0,1
437,"15",A09,70,71,2,1
438,"15",N39,29,93,0,1
439,"15",K37,32,37,2,1
440,"15",K81,12,53,0,1
441,"15",S52,37,28,0,1
442,"15",I10,22,39,2,1
443,"15",T14,38,25,0,1
444,"15",A97,31,27,0,1
445,"15",J06,28,30,0,1
446,"15",N18,56,1,0,1
447,"15",K80,5,48,1,1
448,"15",E14,14,36,0,1
449,"15",K35,21,29,0,1
450,"15",O80,0,47,0,1
451,"15",O06,0,43,0,1
452,"15",N85,0,41,0,1
453,"15",K40,20,14,1,1
454,"15",D25,0,34,0,1
455,"15",J18,15,18,0,1
456,"15",K31,9,23,0,1
457,"15",S72,16,16,0,1
458,"15",S82,15,17,0,1
459,"15",U07,21,4,0,1
460,"15",S42,14,10,0,1
461,"15",J03,12,10,0,1
462,"15",A06,6,15,0,1
463,"15",N20,10,10,1,1
464,"15",C91,0,20,0,1
465,"15",R99,46,95,1,1
466,"16",Z38,891,809,0,1
467,"16",O82,0,1412,0,1
468,"16",A09,152,159,0,1
469,"16",N39,86,201,0,1
470,"16",O80,0,256,0,1
471,"16",E14,122,114,0,1
472,"16",I10,91,90,0,1
473,"16",K80,42,107,1,1
474,"16",K35,63,59,0,1
475,"16",O20,0,108,0,1
476,"16",O23,0,100,0,1
477,"16",O06,0,98,0,1
478,"16",K81,19,69,0,1
479,"16",O60,0,77,0,1
480,"16",J18,37,37,0,1
481,"16",K31,28,40,0,1
482,"16",D25,0,56,0,1
483,"16",N20,40,14,0,1
484,"16",C91,5,45,0,1
485,"16",K37,24,25,0,1
486,"16",L03,30,18,0,1
487,"16",H26,25,19,0,1
488,"16",Q36,30,14,0,1
489,"16",K74,29,13,0,1
490,"16",N12,7,30,0,1
491,"16",K40,27,7,0,1
492,"16",N93,0,32,0,1
493,"16",N18,12,19,0,1
494,"16",A01,10,19,0,1
495,"16",Z98,7,21,0,1
496,"16",R99,71,73,0,1
497,"17",Z38,428,505,0,1
498,"17",O82,0,862,0,1
