id_atencion_por_departamento,id_departamento,codigo_cie,id_tipo_servicio
570,19,N20,1
571,19,E14,1
572,19,H26,1
573,19,I10,1
574,19,S72,1
575,19,D25,1
576,19,S52,1
577,19,K40,1
578,19,K80,1
579,19,Z41,1
580,19,S82,1
581,19,C91,1
582,19,N40,1
583,19,Z01,1
584,19,K46,1
585,19,I67,1
586,19,O80,1
587,19,E87,1
588,19,S42,1
589,19,R99,1
590,20,O82,1
591,20,Z38,1
592,20,K81,1
593,20,U07,1
594,20,A09,1
595,20,K37,1
596,20,D25,1
597,20,Z98,1
598,20,K35,1
599,20,I10,1
600,20,J18,1
601,20,N85,1
602,20,N39,1
603,20,H26,1
604,20,E14,1
605,20,N40,1
606,20,S82,1
607,20,K40,1
608,20,S72,1
609,20,E11,1
610,20,O06,1
611,20,N20,1
612,20,I50,1
613,20,K85,1
614,20,O80,1
615,20,S09,1
616,20,S52,1
617,20,F68,1
618,20,K64,1
619,20,K92,1
620,20,R99,1
621,21,Z38,1
622,21,O82,1
623,21,K37,1
624,21,A09,1
625,21,E14,1
626,21,K80,1
627,21,K81,1
628,21,N85,1
629,21,O80,1
630,21,J18,1
631,21,N18,1
632,21,C91,1
633,21,I10,1
634,21,O06,1
635,21,N39,1
636,21,K40,1
637,21,K35,1
638,21,D25,1
639,21,E87,1
640,21,F10,1
641,21,S52,1
642,21,U07,1
643,21,E11,1
644,21,S82,1
645,21,I67,1
646,21,K46,1
647,21,N40,1
648,21,N83,1
649,21,S72,1
650,21,K31,1
651,21,R99,1
652,22,Z38,1
653,22,O82,1
654,22,K81,1
655,22,O72,1
656,22,N39,1
657,22,Z98,1
658,22,U07,1
659,22,A09,1
660,22,N85,1
661,22,J18,1
662,22,N18,1
663,22,E14,1
664,22,O06,1
665,22,I10,1
666,22,K37,1
667,22,K80,1
668,22,O80,1
669,22,K35,1
670,22,D25,1
671,22,K40,1
672,22,S72,1
673,22,H26,1
674,22,E87,1
675,22,S82,1
676,22,S52,1
677,22,K92,1
678,22,F10,1
679,22,N73,1
680,22,N83,1
681,22,C91,1
682,22,R99,1
683,23,H26,1
684,23,O82,1
685,23,Z38,1
686,23,K81,1
687,23,H40,1
688,23,H11,1
689,23,Z41,1
690,23,Z98,1
691,23,A09,1
692,23,N85,1
693,23,E14,1
694,23,T14,1
695,23,N40,1
696,23,I10,1
697,23,D25,1
698,23,K37,1
699,23,N81,1
700,23,H57,1
701,23,K40,1
702,23,K35,1
703,23,K80,1
704,23,S82,1
705,23,H33,1
706,23,N83,1
707,23,S09,1
708,23,K92,1
709,23,N20,1
710,23,Z94,1
711,23,J18,1
712,23,K64,1
713,23,R99,1
714,99,N81,1
715,99,O82,1
716,99,Z38,1
717,99,Z41,1
718,01,N18,2
719,01,Z01,2
720,01,H52,2
721,01,Z71,2
722,01,Z34,2
723,01,Z76,2
724,01,L70,2
725,01,H40,2
726,01,A09,2
727,01,N39,2
728,01,N89,2
729,01,H10,2
730,01,E14,2
731,01,Z33,2
732,01,Z30,2
733,01,N72,2
734,01,C91,2
735,01,Z96,2
736,01,Z98,2
737,01,I10,2
738,01,U07,2
739,01,J00,2
740,01,N92,2
741,01,H35,2
742,01,H04,2
743,01,H26,2
744,01,K02,2
745,01,B07,2
746,01,L81,2
747,01,H25,2
748,01,R99,2
749,02,N18,2
750,02,Z01,2
751,02,I10,2
752,02,Z71,2
753,02,N39,2
754,02,E14,2
755,02,A09,2
756,02,Z34,2
757,02,M54,2
758,02,Z33,2
759,02,H52,2
760,02,M79,2
761,02,H40,2
762,02,J06,2
763,02,U07,2
764,02,N89,2
765,02,K58,2
766,02,K29,2
767,02,Z98,2
768,02,Z76,2
769,02,N73,2
770,02,N72,2
771,02,K31,2
772,02,H66,2
773,02,K21,2
774,02,E11,2
775,02,B37,2
776,02,K59,2
777,02,F41,2
778,02,J00,2
779,02,R99,2
780,03,N18,2
781,03,H52,2
782,03,Z01,2
783,03,E14,2
784,03,N39,2
785,03,I10,2
786,03,J06,2
787,03,A09,2
788,03,C91,2
789,03,K02,2
790,03,Z98,2
791,03,H40,2
792,03,M54,2
793,03,H04,2
794,03,L70,2
795,03,K31,2
796,03,Z30,2
797,03,H10,2
798,03,N76,2
799,03,Z96,2
800,03,K80,2
801,03,Z33,2
802,03,D25,2
803,03,M15,2
804,03,Z34,2
805,03,Z76,2
806,03,H26,2
807,03,K29,2
808,03,H00,2
809,03,K58,2
810,03,R99,2
811,04,N18,2
812,04,H52,2
813,04,Z01,2
814,04,N39,2
815,04,C91,2
816,04,A09,2
817,04,Z33,2
818,04,U07,2
819,04,E14,2
820,04,H10,2
821,04,Z96,2
822,04,H40,2
823,04,I10,2
824,04,Z98,2
825,04,K31,2
826,04,K29,2
827,04,H26,2
828,04,H11,2
829,04,H04,2
830,04,Z34,2
831,04,Z71,2
832,04,E11,2
833,04,K58,2
834,04,H66,2
835,04,Z76,2
836,04,H00,2
837,04,L70,2
838,04,N89,2
839,04,N76,2
840,04,Z30,2
841,04,R99,2
842,05,N18,2
843,05,Z01,2
844,05,Z34,2
845,05,N39,2
846,05,Z33,2
847,05,N72,2
848,05,N89,2
849,05,I10,2
850,05,B37,2
851,05,H52,2
852,05,C91,2
853,05,A09,2
854,05,E14,2
855,05,N76,2
856,05,K29,2
857,05,N92,2
858,05,E28,2
859,05,H40,2
860,05,Z98,2
861,05,Z96,2
862,05,Z30,2
863,05,D25,2
864,05,K58,2
865,05,M54,2
866,05,A97,2
867,05,J18,2
868,05,U07,2
869,05,C53,2
870,05,H35,2
871,05,Z71,2
872,05,R99,2
873,06,N19,2
874,06,Z01,2
875,06,N39,2
876,06,H52,2
877,06,N18,2
878,06,I10,2
879,06,H40,2
880,06,E14,2
881,06,H10,2
882,06,A09,2
883,06,H26,2
884,06,N76,2
885,06,Z34,2
886,06,C91,2
887,06,H04,2
888,06,Z71,2
889,06,H11,2
890,06,Z96,2
891,06,Z33,2
892,06,Z98,2
893,06,U07,2
894,06,K02,2
895,06,L70,2
896,06,S05,2
897,06,H01,2
898,06,H00,2
899,06,I87,2
900,06,N72,2
901,06,Z76,2
902,06,H35,2
903,06,R99,2
904,07,N18,2
905,07,K02,2
906,07,Z34,2
907,07,Z33,2
908,07,K31,2
909,07,N39,2
910,07,E11,2
911,07,A09,2
912,07,Z01,2
913,07,I10,2
914,07,J00,2
915,07,E14,2
916,07,C91,2
917,07,Z00,2
918,07,F41,2
919,07,Z98,2
920,07,H52,2
921,07,N76,2
922,07,E28,2
923,07,K58,2
924,07,B98,2
925,07,U07,2
926,07,M79,2
927,07,M54,2
928,07,K29,2
929,07,T14,2
930,07,J03,2
931,07,D25,2
932,07,K01,2
933,07,H26,2
934,07,R99,2
935,08,N18,2
936,08,Z01,2
937,08,Z33,2
938,08,N39,2
939,08,Z34,2
940,08,A09,2
941,08,E14,2
942,08,K31,2
943,08,I10,2
944,08,Z30,2
945,08,N76,2
946,08,H52,2
947,08,Z98,2
948,08,C91,2
949,08,D25,2
950,08,M54,2
951,08,J03,2
952,08,E28,2
953,08,N72,2
954,08,N83,2
955,08,K29,2
956,08,H10,2
957,08,H26,2
958,08,N89,2
959,08,K58,2
960,08,J06,2
961,08,Z71,2
962,08,E11,2
963,08,H11,2
964,08,M13,2
965,08,R99,2
966,09,N18,2
967,09,Z34,2
968,09,N39,2
969,09,Z01,2
970,09,Z33,2
971,09,A09,2
972,09,N89,2
973,09,H52,2
974,09,N72,2
975,09,K31,2
976,09,E14,2
977,09,N76,2
978,09,J06,2
979,09,I10,2
980,09,C91,2
981,09,U07,2
982,09,A04,2
983,09,J03,2
984,09,Z71,2
985,09,H10,2
986,09,Z76,2
987,09,N92,2
988,09,Z30,2
989,09,Z98,2
990,09,K58,2
991,09,H66,2
992,09,B37,2
993,09,H26,2
994,09,E28,2
995,09,B82,2
996,09,R99,2
997,10,Z01,2
998,10,N18,2
999,10,C91,2
1000,10,N76,2
1001,10,Z33,2
1002,10,H26,2
1003,10,N39,2
1004,10,H52,2
1005,10,N89,2
1006,10,Z34,2
1007,10,Z98,2
1008,10,E14,2
1009,10,H40,2
1010,10,B37,2
1011,10,U07,2
1012,10,N95,2
1013,10,Z96,2
1014,10,A09,2
1015,10,I10,2
1016,10,H11,2
1017,10,Z71,2
1018,10,E28,2
1019,10,C53,2
1020,10,Z30,2
1021,10,E11,2
1022,10,C92,2
1023,10,N72,2
1024,10,N73,2
1025,10,C50,2
1026,10,H04,2
1027,10,R99,2
1028,11,N18,2
1029,11,Z01,2
1030,11,N39,2
1031,11,N89,2
1032,11,A09,2
1033,11,H26,2
1034,11,E14,2
1035,11,H52,2
1036,11,H40,2
1037,11,Z98,2
1038,11,I10,2
1039,11,J18,2
1040,11,C91,2
1041,11,H10,2
1042,11,Z33,2
1043,11,E11,2
1044,11,N81,2
1045,11,H11,2
1046,11,T14,2
1047,11,T15,2
1048,11,Z96,2
1049,11,H04,2
1050,11,Z48,2
1051,11,J03,2
1052,11,C53,2
1053,11,N72,2
1054,11,B37,2
1055,11,H16,2
1056,11,C64,2
1057,11,F41,2
1058,11,R99,2
1059,12,N18,2
1060,12,Z01,2
1061,12,N39,2
1062,12,Z34,2
1063,12,Z33,2
1064,12,A09,2
1065,12,N89,2
1066,12,K31,2
1067,12,E14,2
1068,12,E28,2
1069,12,H26,2
1070,12,Z98,2
1071,12,C91,2
1072,12,Z96,2
1073,12,N76,2
1074,12,I10,2
1075,12,Z71,2
1076,12,H52,2
1077,12,E11,2
1078,12,N72,2
1079,12,H40,2
1080,12,J18,2
1081,12,J06,2
1082,12,B37,2
1083,12,H11,2
1084,12,H66,2
1085,12,N95,2
1086,12,H10,2
1087,12,H04,2
1088,12,Z00,2
1089,12,R99,2
1090,13,Z01,2
1091,13,N18,2
1092,13,N39,2
1093,13,N76,2
1094,13,Z33,2
1095,13,Z34,2
1096,13,A09,2
1097,13,E11,2
1098,13,C91,2
1099,13,I10,2
1100,13,Z71,2
1101,13,J00,2
1102,13,K29,2
1103,13,K58,2
1104,13,E14,2
1105,13,N83,2
1106,13,J18,2
1107,13,Z98,2
1108,13,A01,2
1109,13,T14,2
1110,13,E28,2
1111,13,E78,2
1112,13,J06,2
1113,13,K31,2
1114,13,J03,2
1115,13,M54,2
1116,13,H66,2
