id_clave_rango,id_codigo_cie,id_tipo_servicio,id
12,N18,2,342
12,Z01,2,343
12,H52,2,344
12,E14,2,345
12,I10,2,346
12,N19,2,347
12,H40,2,348
12,N39,2,349
12,Z71,2,350
12,H26,2,351
12,N76,2,352
12,Z98,2,353
12,E11,2,354
12,C53,2,355
12,N95,2,356
12,Z96,2,357
12,U07,2,358
12,H35,2,359
12,A09,2,360
12,M54,2,361
12,H11,2,362
12,K31,2,363
12,H04,2,364
12,C50,2,365
12,I87,2,366
12,K58,2,367
12,N89,2,368
12,N72,2,369
12,K29,2,370
12,N03,2,371
12,R99,2,372
13,N18,2,373
13,Z01,2,374
13,E14,2,375
13,H52,2,376
13,H40,2,377
13,I10,2,378
13,H26,2,379
13,N19,2,380
13,Z71,2,381
13,N39,2,382
13,Z96,2,383
13,Z98,2,384
13,N76,2,385
13,E11,2,386
13,H35,2,387
13,U07,2,388
13,H04,2,389
13,H11,2,390
13,A09,2,391
13,N95,2,392
13,I87,2,393
13,M54,2,394
13,C53,2,395
13,N40,2,396
13,N03,2,397
13,K31,2,398
13,K58,2,399
13,N81,2,400
13,K29,2,401
13,C50,2,402
13,R99,2,403
14,N18,2,404
14,E14,2,405
14,Z01,2,406
14,H40,2,407
14,H52,2,408
14,I10,2,409
14,Z96,2,410
14,H25,2,411
14,N39,2,412
14,H26,2,413
14,Z71,2,414
14,Z98,2,415
14,H35,2,416
14,E11,2,417
14,N19,2,418
14,U07,2,419
14,N76,2,420
14,N40,2,421
14,H04,2,422
14,M54,2,423
14,I87,2,424
14,A09,2,425
14,H11,2,426
14,K31,2,427
14,C53,2,428
14,N81,2,429
14,K58,2,430
14,N95,2,431
14,H10,2,432
14,K29,2,433
14,R99,2,434
15,N18,2,435
15,H40,2,436
15,I10,2,437
15,Z96,2,438
15,H52,2,439
15,E14,2,440
15,H25,2,441
15,Z01,2,442
15,H26,2,443
15,Z98,2,444
15,N19,2,445
15,N39,2,446
15,Z71,2,447
15,H35,2,448
15,N40,2,449
15,U07,2,450
15,H04,2,451
15,E11,2,452
15,I87,2,453
15,M54,2,454
15,A09,2,455
15,K31,2,456
15,N76,2,457
15,H11,2,458
15,H10,2,459
15,J18,2,460
15,K29,2,461
15,N81,2,462
15,C44,2,463
15,C53,2,464
15,R99,2,465
16,N18,2,466
16,H40,2,467
16,Z96,2,468
16,I10,2,469
16,H26,2,470
16,H25,2,471
16,H52,2,472
16,E14,2,473
16,Z01,2,474
16,Z98,2,475
16,N39,2,476
16,Z71,2,477
16,N40,2,478
16,H35,2,479
16,U07,2,480
16,A09,2,481
16,E11,2,482
16,I87,2,483
16,M54,2,484
16,H04,2,485
16,C44,2,486
16,J18,2,487
16,K31,2,488
16,K29,2,489
16,H10,2,490
16,H11,2,491
16,H01,2,492
16,K58,2,493
16,N76,2,494
16,N81,2,495
16,R99,2,496
17,N18,2,497
17,Z96,2,498
17,H40,2,499
17,I10,2,500
17,H26,2,501
17,H25,2,502
17,H52,2,503
17,E14,2,504
17,N39,2,505
17,Z71,2,506
17,Z98,2,507
17,U07,2,508
17,C44,2,509
17,Z01,2,510
17,H35,2,511
17,A09,2,512
17,J18,2,513
17,N40,2,514
17,M54,2,515
17,K31,2,516
17,H04,2,517
17,I87,2,518
17,N19,2,519
17,K29,2,520
17,H01,2,521
17,E11,2,522
17,H02,2,523
17,H10,2,524
17,H44,2,525
17,S72,2,526
17,R99,2,527
18,N18,2,528
18,Z01,2,529
18,Z33,2,530
18,Z71,2,531
18,Z34,2,532
18,K29,2,533
18,N39,2,534
18,Z76,2,535
18,A09,2,536
18,K58,2,537
18,E14,2,538
18,K21,2,539
18,H52,2,540
18,I10,2,541
18,K64,2,542
18,H04,2,543
18,H10,2,544
18,J18,2,545
18,E28,2,546
18,J06,2,547
18,K59,2,548
18,M54,2,549
18,N40,2,550
18,N41,2,551
18,L30,2,552
18,Z00,2,553
18,Z98,2,554
18,U07,2,555
18,E11,2,556
18,H50,2,557
18,R99,2,558
1,Z38,1,559
1,A09,1,560
1,J18,1,561
1,Q36,1,562
1,N39,1,563
1,C91,1,564
1,P36,1,565
1,K02,1,566
1,Q35,1,567
1,K40,1,568
1,J20,1,569
1,A08,1,570
1,E86,1,571
1,A04,1,572
1,A41,1,573
1,C22,1,574
1,P59,1,575
1,J21,1,576
1,P23,1,577
1,T14,1,578
1,Q65,1,579
1,A97,1,580
1,Z98,1,581
1,Q53,1,582
1,P07,1,583
1,C49,1,584
1,P96,1,585
1,E87,1,586
1,C92,1,587
1,J06,1,588
1,R99,1,589
2,C91,1,590
2,A09,1,591
2,K35,1,592
2,S52,1,593
2,K37,1,594
2,T14,1,595
2,J18,1,596
2,K02,1,597
2,K40,1,598
2,N39,1,599
