id_clave_rango,id_codigo_cie,hombres,mujeres,ignorado,id_tipo_servicio
5,O26,0,111,0,1
5,O20,0,105,0,1
5,S42,76,25,0,1
5,O72,0,100,0,1
5,O66,0,91,0,1
5,Z01,27,60,0,1
5,N74,0,84,0,1
5,N20,47,36,0,1
5,R99,433,704,0,1
6,O82,0,5668,0,1
6,N18,1070,321,0,1
6,O80,0,714,0,1
6,K81,116,536,0,1
6,U07,308,334,1,1
6,O06,0,628,0,1
6,Z41,58,338,0,1
6,K35,158,226,0,1
6,K37,171,202,3,1
6,K80,68,271,1,1
6,A09,148,190,1,1
6,Z98,116,165,0,1
6,M79,111,127,0,1
6,T07,149,85,0,1
6,N39,50,178,0,1
6,N83,0,187,0,1
6,S82,104,47,0,1
6,O72,0,150,0,1
6,T14,71,75,0,1
6,Z01,42,89,2,1
6,J34,59,72,0,1
6,K40,85,41,1,1
6,D25,0,126,0,1
6,O20,0,123,0,1
6,O66,0,123,0,1
6,N20,61,53,0,1
6,O26,0,105,0,1
6,M54,46,53,0,1
6,N85,0,92,0,1
6,K85,30,59,1,1
6,R99,504,744,0,1
7,O82,0,4511,0,1
7,N18,1227,434,0,1
7,K81,148,672,0,1
7,U07,356,292,1,1
7,O06,0,597,0,1
7,O80,0,561,0,1
7,Z41,59,376,0,1
7,Z98,131,253,1,1
7,K80,71,277,1,1
7,A09,147,194,0,1
7,K35,144,180,2,1
7,D25,0,298,0,1
7,K37,98,188,3,1
7,N85,0,222,0,1
7,N39,45,157,0,1
7,N83,0,176,0,1
7,M79,75,88,0,1
7,T07,88,51,1,1
7,M54,62,70,0,1
7,N20,65,66,0,1
7,Z01,51,76,0,1
7,S82,79,45,0,1
7,O20,0,109,0,1
7,J34,48,60,0,1
7,K40,74,31,1,1
7,O66,0,101,0,1
7,O26,0,100,0,1
7,O72,0,97,0,1
7,T14,44,52,1,1
7,J18,41,47,0,1
7,R99,542,715,0,1
8,O82,0,2319,0,1
8,N18,801,712,0,1
8,K81,127,549,1,1
8,U07,339,261,4,1
8,D25,0,469,0,1
8,N85,0,420,0,1
8,O06,0,408,0,1
8,Z41,43,327,0,1
8,K80,73,294,0,1
8,Z98,114,237,1,1
8,A09,125,154,1,1
8,O80,0,268,0,1
8,K35,106,144,0,1
8,K37,87,121,3,1
8,N39,41,140,0,1
8,N83,0,140,0,1
8,K40,88,50,0,1
8,Z01,46,89,1,1
8,N20,67,67,0,1
8,M79,64,63,0,1
8,T07,66,44,0,1
8,I10,52,56,0,1
8,E14,49,55,0,1
8,M54,56,47,1,1
8,N97,0,104,0,1
8,J18,56,47,0,1
8,S82,61,40,0,1
8,T14,48,52,0,1
8,J34,58,39,0,1
8,K42,37,57,0,1
8,R99,501,654,0,1
9,N18,1548,547,0,1
9,D25,0,722,0,1
9,N85,0,655,0,1
9,K81,137,469,1,1
9,O82,0,595,0,1
