anio_nacimiento,area_salud,departamento,municipio,codigo_municipio,num_dosis,sexo,n_vacunados,poblacion
2008,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,2a.,Femenino,270,353
2009,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,1a.,Femenino,315,342
2009,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,2a.,Femenino,249,342
2010,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,1a.,Femenino,320,374
2010,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,2a.,Femenino,235,374
2011,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,1a.,Femenino,272,341
2011,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,2a.,Femenino,117,341
2012,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,1a.,Femenino,217,352
2012,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,2a.,Femenino,37,352
2013,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,1a.,Femenino,149,356
2013,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,2a.,Femenino,2,356
2014,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,1a.,Femenino,140,339
2015,ALTA VERAPAZ,ALTA VERAPAZ,LANQUIN,1611,1a.,Femenino,20,316
2006,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,1a.,Femenino,266,505
2006,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,2a.,Femenino,116,505
2007,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,1a.,Femenino,583,551
2007,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,2a.,Femenino,477,551
2008,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,1a.,Femenino,718,650
2008,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,2a.,Femenino,604,650
2009,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,1a.,Femenino,601,617
2009,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,2a.,Femenino,368,617
2010,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,1a.,Femenino,628,607
2010,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,2a.,Femenino,282,607
2011,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,1a.,Femenino,511,535
2011,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,2a.,Femenino,174,535
2012,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,1a.,Femenino,417,567
2012,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,2a.,Femenino,69,567
2013,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,1a.,Femenino,396,560
2013,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,2a.,Femenino,45,560
2014,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,1a.,Femenino,327,580
2015,ALTA VERAPAZ,ALTA VERAPAZ,LA TINTA,1616,1a.,Femenino,51,652
2006,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,1a.,Femenino,342,946
2006,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,2a.,Femenino,151,946
2007,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,1a.,Femenino,1063,993
2007,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,2a.,Femenino,757,993
2008,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,1a.,Femenino,1026,1035
2008,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,2a.,Femenino,672,1035
2009,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,1a.,Femenino,1111,1037
2009,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,2a.,Femenino,561,1037
2010,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,1a.,Femenino,1012,1054
2010,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,2a.,Femenino,340,1054
2011,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,1a.,Femenino,876,1051
2011,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,2a.,Femenino,190,1051
2012,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,1a.,Femenino,642,1132
2012,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,2a.,Femenino,73,1132
2013,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,1a.,Femenino,664,1096
2013,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,2a.,Femenino,44,1096
2014,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,1a.,Femenino,485,1018
2015,ALTA VERAPAZ,ALTA VERAPAZ,PANZOS,1607,1a.,Femenino,61,1072
2006,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,1a.,Femenino,170,495
2006,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,2a.,Femenino,103,495
2007,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,1a.,Femenino,393,528
2007,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,2a.,Femenino,332,528
2008,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,1a.,Femenino,556,576
2008,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,2a.,Femenino,414,576
2009,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,1a.,Femenino,500,527
2009,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,2a.,Femenino,351,527
2010,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,1a.,Femenino,328,472
2010,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,2a.,Femenino,183,472
2011,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,1a.,Femenino,300,513
2011,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,2a.,Femenino,125,513
2012,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,1a.,Femenino,280,511
2012,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,2a.,Femenino,21,511
2013,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,1a.,Femenino,239,521
2013,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,2a.,Femenino,3,521
2014,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,1a.,Femenino,227,573
2015,ALTA VERAPAZ,ALTA VERAPAZ,RAXRUHA,1617,1a.,Femenino,46,561
2006,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,1a.,Femenino,529,943
2006,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,2a.,Femenino,363,943
2007,ALTA VERAPAZ,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,1603,1a.,Femenino,937,976
