anio_nacimiento,area_salud,departamento,municipio,num_dosis,sexo,n_vacunados,poblacion
2015,0,16,1606.0,0,2,94,747
2006,1,15,1504.0,0,2,452,734
2006,1,15,1504.0,1,2,291,734
2007,1,15,1504.0,0,2,524,657
2007,1,15,1504.0,1,2,449,657
2008,1,15,1504.0,0,2,507,631
2008,1,15,1504.0,1,2,350,631
2009,1,15,1504.0,0,2,571,689
2009,1,15,1504.0,1,2,348,689
2010,1,15,1504.0,0,2,505,698
2010,1,15,1504.0,1,2,273,698
2011,1,15,1504.0,0,2,452,722
2011,1,15,1504.0,1,2,193,722
2012,1,15,1504.0,0,2,470,807
2012,1,15,1504.0,1,2,135,807
2013,1,15,1504.0,0,2,398,736
2013,1,15,1504.0,1,2,3,736
2014,1,15,1504.0,0,2,200,744
2015,1,15,1504.0,0,2,58,760
2006,1,15,1506.0,0,2,93,114
2006,1,15,1506.0,1,2,78,114
2007,1,15,1506.0,0,2,85,97
2007,1,15,1506.0,1,2,101,97
2008,1,15,1506.0,0,2,89,111
2008,1,15,1506.0,1,2,88,111
2009,1,15,1506.0,0,2,88,90
2009,1,15,1506.0,1,2,69,90
2010,1,15,1506.0,0,2,85,91
2010,1,15,1506.0,1,2,83,91
2011,1,15,1506.0,0,2,104,113
2011,1,15,1506.0,1,2,83,113
2012,1,15,1506.0,0,2,95,97
2012,1,15,1506.0,1,2,60,97
2013,1,15,1506.0,0,2,107,101
2013,1,15,1506.0,1,2,1,101
2014,1,15,1506.0,0,2,87,111
2015,1,15,1506.0,0,2,22,93
2006,1,15,1505.0,0,2,89,119
2006,1,15,1505.0,1,2,67,119
2007,1,15,1505.0,0,2,122,136
2007,1,15,1505.0,1,2,139,136
2008,1,15,1505.0,0,2,134,150
2008,1,15,1505.0,1,2,116,150
2009,1,15,1505.0,0,2,123,127
2009,1,15,1505.0,1,2,103,127
2010,1,15,1505.0,0,2,156,166
2010,1,15,1505.0,1,2,124,166
2011,1,15,1505.0,0,2,129,136
2011,1,15,1505.0,1,2,91,136
2012,1,15,1505.0,0,2,137,146
2012,1,15,1505.0,1,2,93,146
2013,1,15,1505.0,0,2,137,132
2013,1,15,1505.0,1,2,27,132
2014,1,15,1505.0,0,2,121,140
2015,1,15,1505.0,0,2,33,132
2006,1,15,1508.0,0,2,375,819
2006,1,15,1508.0,1,2,251,819
2007,1,15,1508.0,0,2,713,801
2007,1,15,1508.0,1,2,680,801
2008,1,15,1508.0,0,2,688,843
2008,1,15,1508.0,1,2,512,843
2009,1,15,1508.0,0,2,679,824
2009,1,15,1508.0,1,2,462,824
2010,1,15,1508.0,0,2,868,904
2010,1,15,1508.0,1,2,577,904
2011,1,15,1508.0,0,2,743,901
2011,1,15,1508.0,1,2,302,901
2012,1,15,1508.0,0,2,597,864
2012,1,15,1508.0,1,2,213,864
2013,1,15,1508.0,0,2,509,860
2013,1,15,1508.0,1,2,3,860
2014,1,15,1508.0,0,2,201,835
2015,1,15,1508.0,0,2,62,852
2006,1,15,1503.0,0,2,416,580
2006,1,15,1503.0,1,2,339,580
2007,1,15,1503.0,0,2,455,538
2007,1,15,1503.0,1,2,433,538
2008,1,15,1503.0,0,2,456,565
2008,1,15,1503.0,1,2,424,565
2009,1,15,1503.0,0,2,389,476
2009,1,15,1503.0,1,2,340,476
2010,1,15,1503.0,0,2,389,487
2010,1,15,1503.0,1,2,321,487
2011,1,15,1503.0,0,2,400,505
2011,1,15,1503.0,1,2,306,505
2012,1,15,1503.0,0,2,397,505
2012,1,15,1503.0,1,2,248,505
2013,1,15,1503.0,0,2,375,481
2013,1,15,1503.0,1,2,13,481
2014,1,15,1503.0,0,2,347,500
2015,1,15,1503.0,0,2,90,494
2006,1,15,1501.0,0,2,483,729
2006,1,15,1501.0,1,2,319,729
2007,1,15,1501.0,0,2,712,738
2007,1,15,1501.0,1,2,663,738
2008,1,15,1501.0,0,2,764,795
2008,1,15,1501.0,1,2,703,795
2009,1,15,1501.0,0,2,663,686
2009,1,15,1501.0,1,2,572,686
2010,1,15,1501.0,0,2,643,738
2010,1,15,1501.0,1,2,493,738
2011,1,15,1501.0,0,2,638,754
2011,1,15,1501.0,1,2,366,754
2012,1,15,1501.0,0,2,580,821
2012,1,15,1501.0,1,2,196,821
2013,1,15,1501.0,0,2,525,791
2013,1,15,1501.0,1,2,15,791
2014,1,15,1501.0,0,2,453,801
2015,1,15,1501.0,0,2,89,801
2006,1,15,1507.0,0,2,191,282
2006,1,15,1507.0,1,2,114,282
2007,1,15,1507.0,0,2,245,216
2007,1,15,1507.0,1,2,227,216
2008,1,15,1507.0,0,2,329,256
2008,1,15,1507.0,1,2,262,256
2009,1,15,1507.0,0,2,345,310
2009,1,15,1507.0,1,2,238,310
2010,1,15,1507.0,0,2,267,269
2010,1,15,1507.0,1,2,192,269
2011,1,15,1507.0,0,2,287,285
2011,1,15,1507.0,1,2,159,285
2012,1,15,1507.0,0,2,221,284
2012,1,15,1507.0,1,2,77,284
2013,1,15,1507.0,0,2,176,282
2013,1,15,1507.0,1,2,4,282
2014,1,15,1507.0,0,2,160,284
2015,1,15,1507.0,0,2,37,264
2006,1,15,1502.0,0,2,179,398
2006,1,15,1502.0,1,2,80,398
2007,1,15,1502.0,0,2,304,355
2007,1,15,1502.0,1,2,337,355
2008,1,15,1502.0,0,2,332,346
2008,1,15,1502.0,1,2,265,346
2009,1,15,1502.0,0,2,384,370
2009,1,15,1502.0,1,2,282,370
2010,1,15,1502.0,0,2,334,380
2010,1,15,1502.0,1,2,183,380
2011,1,15,1502.0,0,2,289,383
2011,1,15,1502.0,1,2,152,383
2012,1,15,1502.0,0,2,244,388
2012,1,15,1502.0,1,2,70,388
2013,1,15,1502.0,0,2,244,400
2013,1,15,1502.0,1,2,10,400
2014,1,15,1502.0,0,2,197,398
2015,1,15,1502.0,0,2,34,429
2006,2,4,411.0,0,2,192,299
2006,2,4,411.0,1,2,185,299
2007,2,4,411.0,0,2,283,269
2007,2,4,411.0,1,2,255,269
2008,2,4,411.0,0,2,304,286
2008,2,4,411.0,1,2,249,286
2009,2,4,411.0,0,2,284,270
2009,2,4,411.0,1,2,219,270
2010,2,4,411.0,0,2,270,311
2010,2,4,411.0,1,2,232,311
2011,2,4,411.0,0,2,261,317
2011,2,4,411.0,1,2,220,317
2012,2,4,411.0,0,2,247,295
2012,2,4,411.0,1,2,157,295
2013,2,4,411.0,0,2,290,314
2013,2,4,411.0,1,2,18,314
2014,2,4,411.0,0,2,213,319
2015,2,4,411.0,0,2,79,307
2006,2,4,401.0,0,2,793,1121
2006,2,4,401.0,1,2,408,1121
2007,2,4,401.0,0,2,1281,1131
2007,2,4,401.0,1,2,1048,1131
2008,2,4,401.0,0,2,1376,1243
2008,2,4,401.0,1,2,1011,1243
2009,2,4,401.0,0,2,1189,1051
2009,2,4,401.0,1,2,933,1051
2010,2,4,401.0,0,2,1355,1164
2010,2,4,401.0,1,2,793,1164
2011,2,4,401.0,0,2,1151,1128
2011,2,4,401.0,1,2,536,1128
2012,2,4,401.0,0,2,1005,1199
2012,2,4,401.0,1,2,211,1199
2013,2,4,401.0,0,2,853,1052
2013,2,4,401.0,1,2,3,1052
2014,2,4,401.0,0,2,746,1086
2015,2,4,401.0,0,2,122,1185
2006,2,4,416.0,0,2,145,211
2006,2,4,416.0,1,2,71,211
2007,2,4,416.0,0,2,360,203
2007,2,4,416.0,1,2,293,203
2008,2,4,416.0,0,2,248,201
2008,2,4,416.0,1,2,247,201
2009,2,4,416.0,0,2,356,196
2009,2,4,416.0,1,2,333,196
2010,2,4,416.0,0,2,270,221
2010,2,4,416.0,1,2,171,221
2011,2,4,416.0,0,2,169,197
2011,2,4,416.0,1,2,110,197
2012,2,4,416.0,0,2,166,228
2012,2,4,416.0,1,2,64,228
2013,2,4,416.0,0,2,178,224
2013,2,4,416.0,1,2,7,224
2014,2,4,416.0,0,2,83,234
2015,2,4,416.0,0,2,13,206
2006,2,4,414.0,0,2,162,176
2006,2,4,414.0,1,2,57,176
2007,2,4,414.0,0,2,232,170
2007,2,4,414.0,1,2,217,170
2008,2,4,414.0,0,2,220,153
2008,2,4,414.0,1,2,192,153
2009,2,4,414.0,0,2,232,206
2009,2,4,414.0,1,2,197,206
2010,2,4,414.0,0,2,208,199
2010,2,4,414.0,1,2,120,199
2011,2,4,414.0,0,2,176,189
2011,2,4,414.0,1,2,68,189
2012,2,4,414.0,0,2,180,218
2012,2,4,414.0,1,2,10,218
2013,2,4,414.0,0,2,199,204
2013,2,4,414.0,1,2,0,204
2014,2,4,414.0,0,2,148,195
2015,2,4,414.0,0,2,32,227
2006,2,4,409.0,0,2,274,377
2006,2,4,409.0,1,2,117,377
2007,2,4,409.0,0,2,418,433
2007,2,4,409.0,1,2,337,433
2008,2,4,409.0,0,2,413,378
2008,2,4,409.0,1,2,316,378
2009,2,4,409.0,0,2,397,380
2009,2,4,409.0,1,2,278,380
2010,2,4,409.0,0,2,320,349
2010,2,4,409.0,1,2,194,349
2011,2,4,409.0,0,2,296,340
2011,2,4,409.0,1,2,161,340
2012,2,4,409.0,0,2,299,391
2012,2,4,409.0,1,2,43,391
2013,2,4,409.0,0,2,293,419
2013,2,4,409.0,1,2,1,419
2014,2,4,409.0,0,2,219,372
2015,2,4,409.0,0,2,47,384
2006,2,4,407.0,0,2,385,683
2006,2,4,407.0,1,2,280,683
2007,2,4,407.0,0,2,642,728
2007,2,4,407.0,1,2,612,728
2008,2,4,407.0,0,2,634,688
2008,2,4,407.0,1,2,579,688
2009,2,4,407.0,0,2,615,672
2009,2,4,407.0,1,2,556,672
2010,2,4,407.0,0,2,602,707
2010,2,4,407.0,1,2,499,707
2011,2,4,407.0,0,2,601,760
2011,2,4,407.0,1,2,407,760
2012,2,4,407.0,0,2,480,665
2012,2,4,407.0,1,2,137,665
2013,2,4,407.0,0,2,532,724
2013,2,4,407.0,1,2,0,724
2014,2,4,407.0,0,2,464,732
2015,2,4,407.0,0,2,99,734
2006,2,4,408.0,0,2,99,130
2006,2,4,408.0,1,2,96,130
2007,2,4,408.0,0,2,112,120
2007,2,4,408.0,1,2,112,120
2008,2,4,408.0,0,2,97,104
2008,2,4,408.0,1,2,92,104
2009,2,4,408.0,0,2,113,114
